"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","10064","Confirmation Popup Validation Test","","Tue May 13 09:42:33 GMT 2025","passed","Tue May 13 09:42:43 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","confirm"
"Sorting is not available for InfoWidget.","35294","Sorting test","","Tue May 13 09:24:58 GMT 2025","passed","Tue May 13 09:25:34 GMT 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","sorting"
"Filtering is not available for InfoWidget.","10747","Filtering test","","Tue May 13 09:27:08 GMT 2025","passed","Tue May 13 09:27:19 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","filtration"
"The test sets the value in the field, and then checks the value in the field with what should be set","11103","A test for setting a value in a field","","Tue May 13 09:40:57 GMT 2025","passed","Tue May 13 09:41:08 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","edit"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8988","A test to get the field color value in Hex format","","Tue May 13 09:30:57 GMT 2025","passed","Tue May 13 09:31:06 GMT 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","color"
"Filtering is not available for the Form widget","6444","Filtering test","","Tue May 13 09:33:32 GMT 2025","passed","Tue May 13 09:33:38 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","filtration"
"","10307","A test to get a value for a multifield","","Tue May 13 09:37:09 GMT 2025","passed","Tue May 13 09:37:19 GMT 2025","","Form. Checking the basic functions for the MultiField in the widget Form","application.Samples.Form.MultiFieldOnFormTest","getValues2"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","8761","Confirmation Popup Validation Test","","Tue May 13 09:34:31 GMT 2025","passed","Tue May 13 09:34:40 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","confirm"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","9731","Business Exception Validation Test","","Tue May 13 09:34:20 GMT 2025","passed","Tue May 13 09:34:30 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","businessException"
"The test opens a modal window, clears the field, closes the window, and then checks the message under the field.","9673","Required Message text Verification field test","","Tue May 13 09:35:39 GMT 2025","passed","Tue May 13 09:35:48 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","required_2"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10864","Run-time exception validation test","","Tue May 13 09:38:00 GMT 2025","passed","Tue May 13 09:38:11 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","runtimeException"
"","10308","The test for getting the value from the field","","Tue May 13 09:27:29 GMT 2025","passed","Tue May 13 09:27:40 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","read"
"The test clears the field and clicks the Save button. Then validates the message that the field is required.","9858","Required Message text Verification field test","","Tue May 13 09:34:10 GMT 2025","passed","Tue May 13 09:34:20 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","required"
"Sorting is not available for InfoWidget.","7410","Sorting test","","Tue May 13 09:29:16 GMT 2025","passed","Tue May 13 09:29:24 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","sorting"
"Sorting is not available for InfoWidget.","11851","Sorting test","","Tue May 13 09:26:45 GMT 2025","passed","Tue May 13 09:26:57 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","sorting"
