"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","16290","Required Message validation test for one field","","Wed Apr 16 11:15:20 GMT 2025","passed","Wed Apr 16 11:15:36 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidationAnnotation"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","8746","Business Exception Validation Test","","Wed Apr 16 11:15:54 GMT 2025","passed","Wed Apr 16 11:16:03 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","businessException"
"The test sets the value in the field, and then checks the value in the field with what should be set","8249","A test for setting a value in a field","","Wed Apr 16 11:16:03 GMT 2025","passed","Wed Apr 16 11:16:11 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","edit"
"DrillDown is not available for InfoWidget.","6526","The DrillDown test","","Wed Apr 16 11:28:04 GMT 2025","passed","Wed Apr 16 11:28:10 GMT 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","drillDown"
"The test gets the value from the placeholder attribute and returns it in String format","8898","Test for getting the Placeholder value","","Wed Apr 16 11:23:41 GMT 2025","passed","Wed Apr 16 11:23:50 GMT 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","placeholder"
"The test gets the value from the placeholder attribute and returns it in String format","7341","Test for getting the Placeholder value","","Wed Apr 16 11:21:34 GMT 2025","passed","Wed Apr 16 11:21:42 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","placeholder"
"Filtering is not available for the Form widget","9069","Filtering test","","Wed Apr 16 11:17:45 GMT 2025","passed","Wed Apr 16 11:17:55 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","filtration"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","9831","Required Message validation test for multiple fields","","Wed Apr 16 11:16:34 GMT 2025","passed","Wed Apr 16 11:16:44 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","fieldLevelValidation"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","11698","Confirmation Popup Validation Test","","Wed Apr 16 11:14:28 GMT 2025","passed","Wed Apr 16 11:14:40 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","confirm"
"","7100","The test for getting the value from the field","","Wed Apr 16 11:26:00 GMT 2025","passed","Wed Apr 16 11:26:07 GMT 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","read"
