"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that all action will be displayed","26820","Check action with icon","","2026-08-05","passed","2026-08-05","","Form. Checking action group with only text, only icon and mixed","application.Samples.Feature.actionIcon.ActionGroupTest","checkActionGroupOnlyIcon"
"Verify that when the value of a field with forceActive is changed, the fields associated with it are populated.","21457","Set Force Active","","2026-08-05","passed","2026-08-05","","List. Checking the basic functions for the PickList in the widget List","application.Samples.Feature.ForceActive.ForceActiveTest","setForceActive"
"Verify that all action will be displayed","12137","Check action with mixed","","2026-08-05","passed","2026-08-05","","Form. Checking action group with only text, only icon and mixed","application.Samples.Feature.actionIcon.ActionGroupTest","checkActionGroupMixed"
"Verify that all action will be displayed","17892","Check action with text","","2026-08-05","passed","2026-08-05","","Form. Checking action group with only text, only icon and mixed","application.Samples.Feature.actionIcon.ActionGroupTest","checkActionGroupOnlyText"
